Cluster	R[arcmin]	ΔR[arcmin]	σ_R[mas/yr]	Δσ_R[mas/yr]	σ_T[mas/yr]	Δσ_T[mas/yr]
NGC5904	5.557294	0.403078	0.124877	0.009701	0.130511	0.009307
NGC5904	6.986623	0.451854	0.116737	0.010229	0.136047	0.009534
NGC5904	8.904762	0.744797	0.095130	0.010602	0.102516	0.010484
NGC5904	13.085582	3.437528	0.100956	0.009595	0.095973	0.009925
NGC5986	2.579372	0.411216	0.090903	0.009729	0.122728	0.011102
NGC5986	3.395107	0.249431	0.090397	0.016967	0.109561	0.018189
NGC5986	4.591722	0.925276	0.060333	0.018360	0.042845	0.019145
NGC6093	2.274886	0.335721	0.129235	0.012120	0.126674	0.012098
NGC6093	3.094820	0.254906	0.093483	0.023005	0.118247	0.025683
NGC6093	4.209772	0.955206	0.066892	0.019405	0.077475	0.017176
NGC6121	2.766452	0.520998	0.468880	0.018739	0.512612	0.020137
NGC6121	3.910118	0.223887	0.444028	0.018128	0.519246	0.020805
NGC6121	4.667952	0.240341	0.445768	0.018076	0.472553	0.018944
NGC6121	5.392328	0.209339	0.466901	0.018915	0.453910	0.018364
NGC6121	6.085423	0.181980	0.401926	0.016549	0.430997	0.017727
NGC6121	6.809596	0.208354	0.425765	0.017507	0.421433	0.017375
NGC6121	7.517291	0.227099	0.379534	0.015982	0.401964	0.016773
NGC6121	8.381794	0.265862	0.360397	0.015638	0.371898	0.015735
NGC6121	9.338269	0.291607	0.343764	0.014972	0.366676	0.015882
NGC6121	10.424520	0.371805	0.328124	0.014785	0.372888	0.016110
NGC6121	11.792278	0.393040	0.325494	0.014857	0.364016	0.016010
NGC6121	13.391474	0.499599	0.313989	0.014331	0.328353	0.015126
NGC6121	15.264465	0.686913	0.282941	0.013280	0.320501	0.014640
NGC6121	18.143214	1.059617	0.240781	0.012467	0.287798	0.013849
NGC6121	23.026074	2.616827	0.226576	0.011671	0.243629	0.012610
NGC6171	2.089146	0.460394	0.101192	0.008398	0.134013	0.009797
NGC6171	3.240008	0.305899	0.103006	0.011112	0.114906	0.012475
NGC6171	4.268058	0.380856	0.095869	0.015151	0.111685	0.014255
NGC6171	6.316882	1.140804	0.053325	0.012585	0.085027	0.012229
NGC6205	4.105872	0.649913	0.181517	0.004850	0.175193	0.005069
NGC6205	5.596940	0.386085	0.160868	0.006164	0.138084	0.005964
NGC6205	6.935504	0.401039	0.123539	0.006931	0.116719	0.006499
NGC6205	8.624163	0.623633	0.117641	0.006485	0.119731	0.006351
NGC6205	12.123932	3.220770	0.088724	0.006776	0.097308	0.006475
NGC6218	2.223379	0.339160	0.172542	0.008711	0.189796	0.009515
NGC6218	2.912640	0.172647	0.150506	0.009694	0.163739	0.010052
NGC6218	3.452675	0.139534	0.151592	0.010349	0.150455	0.011258
NGC6218	3.940223	0.141869	0.139905	0.010944	0.130568	0.010853
NGC6218	4.448922	0.153969	0.139418	0.012124	0.127502	0.011973
NGC6218	5.010361	0.177747	0.104566	0.010409	0.122580	0.011642
NGC6218	5.678004	0.207930	0.113068	0.012550	0.129330	0.012174
NGC6218	6.444996	0.249360	0.096083	0.011663	0.119464	0.012160
NGC6218	7.541227	0.402501	0.090337	0.010460	0.089857	0.010341
NGC6218	9.680904	1.581007	0.062082	0.010905	0.073713	0.011820
NGC6254	3.398358	0.596084	0.190568	0.006176	0.211927	0.006810
NGC6254	4.875678	0.412945	0.165818	0.007468	0.171327	0.007926
NGC6254	6.413331	0.553816	0.134421	0.007350	0.137551	0.007844
NGC6254	9.351606	2.371754	0.113821	0.007088	0.124814	0.007048
NGC6266	3.127433	0.668215	0.297583	0.017331	0.260166	0.015238
NGC6266	4.524275	0.357853	0.207648	0.013937	0.225457	0.014769
NGC6266	5.786365	0.386591	0.191603	0.014430	0.192957	0.014951
NGC6266	7.581984	0.963737	0.152696	0.011977	0.156955	0.012078
NGC6341	3.405136	0.655867	0.152542	0.005807	0.144851	0.005747
NGC6341	5.023317	0.474754	0.094618	0.007782	0.096537	0.008442
NGC6341	7.503341	1.980867	0.067472	0.007731	0.067970	0.007128
NGC6352	2.238804	0.556510	0.102978	0.006742	0.105212	0.007030
NGC6352	4.037396	1.142118	0.082053	0.006209	0.079354	0.005973
NGC6362	2.454645	0.549875	0.097081	0.004617	0.097745	0.004725
NGC6362	3.700018	0.333339	0.064613	0.005417	0.082648	0.006103
NGC6362	4.940668	0.432468	0.064913	0.005637	0.076373	0.006635
NGC6362	7.056900	1.457530	0.039974	0.005219	0.059400	0.005187
NGC6366	1.769937	0.621271	0.144434	0.009252	0.135791	0.008647
NGC6366	3.053059	0.346894	0.129553	0.010849	0.132880	0.010912
NGC6366	4.251546	0.356741	0.128498	0.011633	0.131823	0.011299
NGC6366	5.429615	0.342978	0.106042	0.012431	0.116453	0.012076
NGC6366	6.913284	0.549686	0.107986	0.012856	0.103835	0.012091
NGC6366	9.474327	1.095261	0.088688	0.010420	0.101603	0.012847
NGC6397	2.804546	0.576060	0.383716	0.008263	0.380269	0.008317
NGC6397	4.252392	0.384000	0.362099	0.008066	0.325423	0.007510
NGC6397	5.585658	0.385830	0.308732	0.007114	0.301284	0.007169
NGC6397	6.920525	0.405255	0.292427	0.007060	0.290943	0.007120
NGC6397	8.395188	0.479029	0.286666	0.007209	0.277951	0.007016
NGC6397	10.204949	0.528142	0.254404	0.006887	0.250768	0.006828
NGC6397	12.180888	0.653768	0.241809	0.006576	0.228915	0.006397
NGC6397	14.877248	1.010116	0.220163	0.006382	0.208224	0.006174
NGC6397	19.771664	2.212329	0.190590	0.005762	0.188925	0.005696
NGC6541	2.958462	0.496609	0.163802	0.009403	0.173359	0.010614
NGC6541	4.094889	0.293363	0.122183	0.011983	0.116851	0.012468
NGC6541	5.216306	0.375712	0.095282	0.013924	0.079148	0.013762
NGC6541	6.968917	1.316080	0.092547	0.011545	0.085299	0.011650
