Cluster        W0   -1σ_W0   +1σ_W0        M    -1σ_M    +1σ_M        rh   -1σ_rh   +1σ_rh       ra   -1σ_ra   +1σ_ra        g    -1σ_g    +1σ_g    delta  -1σ_delta  +1σ_delta        s2   -1σ_s2   +1σ_s2        F    -1σ_F    +1σ_F        a1   -1σ_a1   +1σ_a1        a2   -1σ_a2   +1σ_a2       a3   -1σ_a3   +1σ_a3     BHret  -1σ_BHret  +1σ_BHret         d    -1σ_d    +1σ_d
NGC6093  6.390475 0.079830 0.075800 0.297112 0.003955 0.004127  2.372954 0.019855 0.022712 6.290868 2.881740 2.394212 1.440222 0.054688 0.054198 0.305035   0.003641   0.007063  0.008634 0.002568 0.003160 3.386002 0.327866 0.391137  0.091686 0.080091 0.080319  0.892455 0.075679 0.078554 2.742956 0.076459 0.065685 13.945782   3.241902   2.731947  9.923993 0.075161 0.086431
NGC6121  6.462654 0.203453 0.354152 0.091117 0.001748 0.001763  3.919580 0.061847 0.062947 6.506486 2.472331 2.286647 0.824184 0.096745 0.082380 0.459676   0.047851   0.028430  0.000014 0.000010 0.000051 1.327599 0.079835 0.088636 -0.081292 0.080673 0.080745  0.368453 0.093038 0.091195 2.202002 0.064923 0.068431  0.364092   0.182212   0.202604  1.851887 0.013897 0.013893
NGC6171  5.572966 0.061638 0.072834 0.063854 0.001721 0.001855  3.892821 0.053465 0.053051 4.672967 2.045786 1.914655 0.325931 0.096780 0.093426 0.488705   0.014853   0.008229  0.003952 0.001575 0.002029 1.471085 0.097877 0.105029 -0.058046 0.035547 0.032401 -0.000182 0.036566 0.044105 2.305842 0.069065 0.074897  0.313343   0.205811   0.277423  5.595558 0.065258 0.065009
NGC6205  3.532490 0.143007 0.137161 0.425141 0.010089 0.010464  4.520089 0.039878 0.041334 4.999081 2.562368 3.083670 2.493219 0.061515 0.064757 0.432487   0.047977   0.039782  0.000024 0.000014 0.000032 2.831554 0.299441 0.371322  0.279180 0.134685 0.124393  0.937059 0.097790 0.098458 2.391659 0.110044 0.128014  3.031518   1.432488   2.421272  7.310554 0.066196 0.062894
NGC6218  5.075259 0.081293 0.083130 0.100381 0.001465 0.001588  4.147141 0.045144 0.045384 2.329371 0.966086 2.921202 0.468661 0.077282 0.072351 0.494728   0.007695   0.003823  0.000102 0.000073 0.000157 2.131501 0.188262 0.200134  0.111458 0.040312 0.035110  0.196481 0.044031 0.060571 2.794219 0.060870 0.052752  3.309040   0.668644   0.660488  5.024375 0.033369 0.034841
NGC6254  5.718782 0.202982 0.193248 0.210147 0.004235 0.004378  5.154411 0.075883 0.074813 3.252989 1.214850 1.168726 0.961662 0.089546 0.087876 0.407211   0.041922   0.043796  0.000319 0.000165 0.000224 2.696488 0.180793 0.202761  0.321070 0.047289 0.047328  0.905531 0.086345 0.086814 2.203921 0.069912 0.070021  0.309691   0.227969   0.381490  5.100151 0.043475 0.045465
NGC6266  6.002280 0.199161 0.139644 0.724653 0.018890 0.026686  3.058812 0.057323 0.086307 3.290047 1.768502 1.209226 1.011378 0.040703 0.036827 0.498055   0.002821   0.001440  0.228874 0.021574 0.022503 2.653177 0.277827 0.392611 -0.361109 0.277942 0.336390  1.292911 0.072403 0.082992 2.179752 0.039378 0.043847  0.000000   0.000000   0.000000  6.475481 0.050663 0.069229
NGC6341  5.775006 0.441085 1.414582 0.300395 0.006157 0.006228  4.220082 0.064502 0.069504 5.981007 3.203663 2.631500 1.727144 0.059687 0.054534 0.383610   0.045809   0.047576  0.000073 0.000040 0.000086 3.786258 0.193502 0.225239  0.811083 0.046090 0.045240  1.085722 0.098502 0.106397 2.211161 0.097066 0.108929  0.928189   0.557544   0.609807  8.411396 0.062578 0.051395
NGC6352  6.454285 0.128599 0.131370 0.091668 0.005296 0.005853  7.864868 0.549532 0.649326 5.993104 2.542517 2.554179 0.080961 0.058775 0.118768 0.494369   0.008248   0.004054  2.022793 0.016990 0.035574 2.087088 0.142464 0.162794  0.238076 0.107028 0.096505  0.542598 0.103412 0.112386 1.991438 0.068794 0.066205  0.162879   0.049182   0.052303  5.667888 0.060501 0.063606
NGC6362  4.150583 0.093173 0.135619 0.111201 0.003026 0.003385  6.955101 0.094842 0.097246 4.215775 2.212554 2.182180 0.543802 0.172400 0.169978 0.466772   0.042079   0.023645 15.439894 5.159412 3.316649 1.577037 0.100099 0.120611  0.264862 0.041104 0.045133  0.645537 0.074626 0.075031 1.822524 0.072517 0.068736  0.031083   0.024172   0.045867  7.639675 0.067794 0.065008
NGC6366  3.993897 0.138962 0.111274 0.032139 0.001345 0.001361  4.650234 0.096858 0.090305 1.946389 1.186308 1.874222 0.597824 0.225808 0.227032 0.489218   0.017253   0.008020  0.001936 0.001252 0.001659 1.231044 0.078902 0.093290 -0.301483 0.085173 0.070598 -0.183866 0.075595 0.083583 3.068548 0.199705 0.203239  4.477585   3.492631   6.972111  3.370081 0.043690 0.048989
NGC6397  7.885758 0.101622 0.101901 0.108379 0.002261 0.002596  4.886621 0.139838 0.157291 2.793243 0.118952 0.120435 1.525771 0.072006 0.083123 0.498032   0.002689   0.001461  9.109796 1.088418 0.640388 1.981433 0.119685 0.143491  0.612444 0.044038 0.039133  0.718870 0.058066 0.072999 2.356811 0.060446 0.045351  0.111299   0.018703   0.022262  2.435953 0.014407 0.015951
NGC6541  5.899566 0.096442 0.092283 0.231301 0.003653 0.004324  3.726987 0.058047 0.055214 1.513668 0.099484 0.093170 0.901250 0.059519 0.070119 0.495490   0.006096   0.003277  0.000248 0.000102 0.000136 2.573375 0.163944 0.207401  0.483073 0.046885 0.051015  1.103656 0.056473 0.055713 2.269434 0.050017 0.047099  0.256476   0.036514   0.039059  7.364318 0.066720 0.074863
NGC6624 11.075096 0.132573 0.134485 0.096541 0.001107 0.001292  2.071135 0.018223 0.020390 2.868858 0.049492 0.055299 0.902250 0.066758 0.070822 0.485686   0.004430   0.004539  0.276890 0.092911 0.110949 1.690491 0.083962 0.126022 -0.679644 0.139022 0.098844 -0.471171 0.033031 0.026806 2.410101 0.034699 0.035028  0.000000   0.000000   0.000000  8.020689 0.029694 0.023981
NGC6681  7.290326 0.078211 0.082696 0.098971 0.001866 0.001842  2.633018 0.044392 0.042680 1.761173 0.102404 0.103754 0.921917 0.079617 0.080190 0.495696   0.006186   0.003069  0.030867 0.012823 0.013779 2.772298 0.212812 0.204961 -0.046733 0.057347 0.054656  0.049790 0.059560 0.068332 1.996127 0.057438 0.050932  0.082167   0.012147   0.012356  9.456546 0.055954 0.065009
NGC6723  3.632504 0.147499 0.143437 0.188993 0.005712 0.006515  4.747441 0.047121 0.045999 0.410697 0.059531 0.065069 1.472302 0.144479 0.155017 0.475819   0.028112   0.017278  0.003363 0.002140 0.003280 2.087670 0.172196 0.206015  0.151690 0.075929 0.066143  0.418849 0.052690 0.062851 1.974456 0.081923 0.084238  0.077298   0.057689   0.123095  8.200641 0.096910 0.095751
NGC6752  6.328355 0.008172 0.006990 0.219181 0.000184 0.000186  3.809914 0.008735 0.009781 1.465786 0.001566 0.001527 1.453910 0.002044 0.002104 0.497564   0.000225   0.000288  0.000037 0.000022 0.000041 4.910486 0.027221 0.027721  0.346517 0.004938 0.006004  0.455029 0.004722 0.003648 2.256890 0.006226 0.006119  0.000000   0.000000   0.000000  4.057567 0.000533 0.000598
NGC6779  7.198098 0.350718 0.595055 0.160849 0.003592 0.003987  5.617847 0.059695 0.069304 6.817530 1.425512 1.523409 0.691923 0.084284 0.079566 0.318749   0.008798   0.008203  0.000394 0.000221 0.000342 2.259224 0.173699 0.199154  0.614219 0.037366 0.037391  0.776248 0.059898 0.067907 2.552559 0.067800 0.098429  5.617309   1.173228   3.113378 10.287158 0.095699 0.062805
NGC6809  3.094140 0.059727 0.070195 0.183030 0.004633 0.005186  6.170844 0.048286 0.052191 5.470025 3.005871 3.050196 1.269439 0.085585 0.083956 0.488656   0.013876   0.008221  0.000490 0.000289 0.000549 2.888323 0.201111 0.211275  0.502772 0.040702 0.034372  0.577782 0.044660 0.061545 2.606516 0.128664 0.120589  0.617339   0.411566   0.524021  5.251736 0.039621 0.048682
NGC7078  8.472682 0.113746 0.145898 0.620680 0.002747 0.004275  5.087996 0.027702 0.029523 2.985194 0.060892 0.050971 1.704935 0.052023 0.042349 0.473200   0.010437   0.009110  0.000025 0.000012 0.000018 3.255987 0.114143 0.128823  0.795288 0.022068 0.026026  1.806512 0.040622 0.025374 1.871067 0.018680 0.025583  0.000000   0.000000   0.000000 10.723396 0.010470 0.012715
NGC7089  5.243296 0.226702 0.206092 0.622529 0.013335 0.013041  4.566537 0.100741 0.089491 8.675465 4.665743 4.343427 1.902135 0.073428 0.079155 0.336818   0.023774   0.036810  0.000059 0.000033 0.000055 3.106506 0.340122 0.404770  0.636743 0.162014 0.148898  1.205911 0.084286 0.083238 3.213526 0.133288 0.139527 52.278902  23.568886  22.651417 11.543084 0.085390 0.079226
NGC7099  6.109638 0.054837 0.052383 0.135200 0.002129 0.002340  4.298729 0.071556 0.060597 1.761195 0.055217 0.036377 0.999717 0.057911 0.068305 0.497744   0.002889   0.001688  0.000054 0.000041 0.000281 4.007650 0.242663 0.323870  0.597027 0.037168 0.034335  1.507215 0.073845 0.064846 1.880337 0.053431 0.049303  0.060178   0.010254   0.006101  8.619458 0.068873 0.072784
